,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
166,STEP,StepStone Group Inc.,,64.82 +1.98 (+3.15%),1.98,+3.15%,669295,594025,7.877B,106.26,86.10%,
167,AEM,Agnico Eagle Mines Limited,,98.60 +3.01 (+3.15%),3.01,+3.15%,4.224M,1.894M,49.45B,49.80,99.71%,
168,ARGX,argenx SE,,671.74 +20.45 (+3.14%),20.45,+3.14%,338512,279784,41.105B,-,67.77%,
169,PATH,UiPath Inc.,,14.88 +0.45 (+3.12%),0.45,+3.12%,7.613M,9.588M,8.178B,-,-39.48%,
170,PRCT,PROCEPT BioRobotics Corporation,,73.81 +2.22 (+3.10%),2.22,+3.10%,544951,714271,3.994B,-,42.79%,
171,OSCR,"Oscar Health, Inc.",,15.75 +0.47 (+3.08%),0.47,+3.08%,10.652M,4.185M,3.894B,-,24.91%,
172,CRVL,CorVel Corporation,,128.46 +3.83 (+3.07%),3.83,+3.07%,204742,127283,6.6B,76.01,49.90%,
173,RCI,Rogers Communications Inc.,,28.56 +0.85 (+3.07%),0.85,+3.07%,3.431M,1.228M,15.571B,12.86,-41.54%,
174,HAS,"Hasbro, Inc.",,58.90 +1.75 (+3.06%),1.75,+3.06%,2.158M,1.5M,8.217B,-,13.51%,
175,HOOD,"Robinhood Markets, Inc.",,54.20 +1.62 (+3.08%),1.62,+3.08%,16.437M,23.711M,47.912B,93.45,371.82%,
176,TCBI,"Texas Capital Bancshares, Inc.",,82.51 +2.45 (+3.06%),2.45,+3.06%,582315,461622,3.815B,64.46,31.01%,
177,AMBA,"Ambarella, Inc.",,78.76 +2.33 (+3.05%),2.33,+3.05%,598376,717894,3.284B,-,41.37%,
178,SFTBY,SoftBank Group Corp.,,32.50 +0.96 (+3.04%),0.96,+3.04%,274162,627711,93.673B,6.83,35.82%,
179,KKR,KKR & Co. Inc.,,153.81 +4.51 (+3.02%),4.51,+3.02%,5.089M,3.475M,141.936B,46.89,72.30%,
180,ESS,"Essex Property Trust, Inc.",,295.79 +8.65 (+3.01%),8.65,+3.01%,784817,385074,19.7B,34.55,24.18%,
181,SBAC,SBA Communications Corporation,,203.48 +5.94 (+3.01%),5.94,+3.01%,785296,894677,21.879B,32.09,-8.88%,
182,FLEX,Flex Ltd.,,43.18 +1.26 (+3.01%),1.26,+3.01%,3.533M,4.636M,16.542B,17.62,65.24%,
